"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"28 OCT 2002",0.9745,121.5300,1.4680,0.62990,1.9465,30.9180,7.4316,241.4100,0.7421,3.9583,32553.0000,9.0820,86.2900,7.3710,7.4800,30.9511,1637000.0000,1.7501,3.6865,1.5237,8.0659,7.6001,8988.7900,4.6406,47.1660,1197.1700,9.6963,3.7031,1.9961,51.7220,1.7362,42.3957,9.8152
"29 OCT 2002",0.9820,121.2100,1.4657,0.63070,1.9461,30.9180,7.4321,241.4800,0.7438,3.9748,32907.0000,9.1056,86.7100,7.3910,7.4920,31.1667,1645000.0000,1.7579,3.7782,1.5329,8.1280,7.6588,9044.0700,4.6899,47.4630,1200.4000,9.8881,3.7295,2.0125,52.1630,1.7387,42.5410,9.8624
"30 OCT 2002",0.9825,120.6500,1.4649,0.63170,1.9461,30.9030,7.4323,241.2800,0.7443,3.9788,32865.0000,9.0834,86.3400,7.3900,7.4850,31.2064,1649000.0000,1.7741,3.6932,1.5365,8.1322,7.6630,9067.3800,4.6541,47.5240,1205.3300,9.9897,3.7343,2.0310,52.2060,1.7380,42.6345,9.9031
"31 OCT 2002",0.9864,121.0400,1.4633,0.63260,1.9466,30.7780,7.4319,241.3300,0.7463,3.9777,33070.0000,9.0900,86.4900,7.3650,7.4880,31.3255,1648000.0000,1.7813,3.6161,1.5449,8.1644,7.6932,9104.9400,4.7022,47.6850,1205.0800,10.0322,3.7485,2.0405,52.4050,1.7435,42.7182,9.8477
"01 NOV 2002",0.9974,121.5800,1.4606,0.63680,1.9475,30.8470,7.4321,241.4000,0.7520,3.9932,33352.0000,9.0888,86.4800,7.3685,7.4880,31.6801,1683000.0000,1.7915,3.6305,1.5531,8.2555,7.7793,9193.1800,4.7426,48.1440,1221.8200,10.1898,3.7869,2.0365,52.9420,1.7592,43.1058,9.9441
"04 NOV 2002",0.9944,121.8500,1.4633,0.63900,1.9476,30.7170,7.4323,241.1000,0.7505,3.9732,33382.0000,9.1424,86.5400,7.3705,7.4900,31.6308,1664000.0000,1.7726,3.5311,1.5483,8.2306,7.7557,9158.5400,4.7154,48.0320,1212.1700,10.0991,3.7782,2.0095,52.6900,1.7543,42.9964,9.8282
"05 NOV 2002",1.0024,121.9500,1.4613,0.64130,1.9492,30.9480,7.4326,241.1400,0.7536,3.9857,33642.0000,9.1423,87.1400,7.3715,7.4970,31.8903,1645000.0000,1.7815,3.5816,1.5601,8.2969,7.8177,9223.8700,4.7494,48.3990,1219.9200,10.2360,3.8078,2.0151,52.9340,1.7600,43.2335,9.9282
"06 NOV 2002",0.9955,121.8400,1.4633,0.63940,1.9482,30.7920,7.4317,239.6500,0.7508,3.9637,33387.0000,9.1275,86.7700,7.3595,7.4780,31.6754,1636000.0000,1.7756,3.5704,1.5507,8.2398,7.7643,9170.9400,4.6818,48.1000,1219.4900,10.1258,3.7835,2.0099,52.7250,1.7541,43.1067,9.8654
"07 NOV 2002",1.0013,121.9800,1.4641,0.63840,1.9480,30.9180,7.4297,239.1500,0.7526,3.9572,33617.0000,9.1393,87.1700,7.3545,7.4870,31.8456,1634000.0000,1.7758,3.6227,1.5536,8.2878,7.8093,9214.2100,4.7071,48.3390,1211.2700,10.2102,3.8036,2.0121,53.0080,1.7697,43.2883,9.8788
"08 NOV 2002",1.0107,121.9500,1.4633,0.63750,1.9477,30.9610,7.4292,239.0300,0.7558,3.9716,33912.0000,9.1215,86.9300,7.3320,7.4700,32.1319,1635000.0000,1.7861,3.5698,1.5752,8.3656,7.8827,9284.9300,4.7584,48.7230,1212.8400,10.3475,3.8378,2.0299,53.4040,1.7808,43.4654,9.8694
"11 NOV 2002",1.0126,120.9000,1.4632,0.63700,1.9475,30.7000,7.4284,238.2100,0.7542,3.9338,33916.0000,9.0970,86.6200,7.2975,7.4750,32.2574,1637000.0000,1.8075,3.5390,1.5905,8.3813,7.8976,9265.4600,4.7471,48.8800,1215.8300,10.4739,3.8495,2.0500,53.6360,1.7822,43.5012,9.9340
"12 NOV 2002",1.0081,120.6100,1.4616,0.63580,1.9472,30.6860,7.4277,238.5200,0.7523,3.9463,33866.0000,9.0833,86.1000,7.3025,7.4800,32.1030,1651000.0000,1.7952,3.5536,1.5844,8.3440,7.8628,9148.5100,4.7461,48.6510,1215.7700,10.4087,3.8308,2.0410,53.6560,1.7791,43.5046,9.9389
"13 NOV 2002",1.0068,120.8000,1.4632,0.63430,1.9475,30.7220,7.4262,238.5000,0.7530,3.9578,33840.0000,9.0728,85.9600,7.3210,7.4850,32.0539,1647000.0000,1.7983,3.6552,1.5899,8.3333,7.8525,9108.0700,4.7279,48.5960,1209.9700,10.3776,3.8257,2.0341,53.5650,1.7771,43.6376,9.9056
"14 NOV 2002",1.0095,120.8500,1.4651,0.63550,1.9479,30.6980,7.4265,237.8600,0.7550,3.9674,33855.0000,9.0973,86.0400,7.3145,7.4795,32.1416,1635000.0000,1.7935,3.7123,1.5911,8.3556,7.8740,9114.1700,4.7093,48.7030,1215.6400,10.3575,3.8365,2.0205,53.8870,1.7743,43.7309,9.8880
"15 NOV 2002",1.0029,121.0500,1.4664,0.63620,1.9471,30.5720,7.4263,237.3000,0.7526,3.9443,33639.0000,9.0835,85.9000,7.3035,7.4695,31.9395,1607000.0000,1.7805,3.7077,1.5869,8.3010,7.8222,9056.3400,4.6780,48.3370,1204.2800,10.2538,3.8124,2.0072,53.5490,1.7685,43.7166,9.6980
"18 NOV 2002",1.0065,121.9800,1.4676,0.63740,1.9483,30.5830,7.4263,237.0300,0.7535,3.9353,33725.0000,9.0725,85.8200,7.3135,7.4500,32.0541,1593000.0000,1.7896,3.6254,1.5934,8.3308,7.8503,9056.6200,4.7004,48.5100,1209.6100,10.2538,3.8261,2.0241,53.7410,1.7753,43.6822,9.6473
"19 NOV 2002",1.0125,122.7500,1.4681,0.63730,1.9496,30.5460,7.4274,236.6200,0.7565,3.9337,33885.0000,9.0723,85.8900,7.3270,7.4430,32.2336,1603000.0000,1.7988,3.5893,1.6101,8.3805,7.8968,9076.4000,4.7426,48.7680,1216.0100,10.2789,3.8464,2.0325,54.0770,1.7848,43.8840,9.6906
"20 NOV 2002",1.0019,122.6700,1.4675,0.63640,1.9505,30.5830,7.4263,237.6700,0.7534,3.9352,33565.0000,9.0780,85.9200,7.3310,7.4470,31.8869,1590000.0000,1.7915,3.5342,1.5866,8.2927,7.8144,8981.8500,4.6949,48.2770,1211.3000,10.1673,3.8061,2.0224,53.7610,1.7738,43.5646,9.6836
"21 NOV 2002",1.0034,122.7500,1.4687,0.63560,1.9527,30.6740,7.4261,237.5300,0.7543,3.9535,33666.0000,9.0633,86.2600,7.3155,7.4350,31.9041,1586000.0000,1.7845,3.5099,1.5851,8.3051,7.8258,9038.9500,4.6968,48.2610,1208.9000,10.1363,3.8080,1.9932,53.5870,1.7733,43.4861,9.6978
"22 NOV 2002",1.0024,122.8800,1.4718,0.63350,1.9540,30.6650,7.4268,236.9800,0.7534,3.9415,33647.0000,9.0181,86.2600,7.3045,7.4350,31.9448,1584000.0000,1.7788,3.5655,1.5837,8.2969,7.8176,9010.6100,4.6932,48.3080,1207.2900,10.1574,3.8109,1.9915,53.9790,1.7730,43.4987,9.5228
"25 NOV 2002",0.9905,121.8400,1.4746,0.63260,1.9531,30.6830,7.4265,236.9800,0.7481,3.9246,33377.0000,9.0117,85.7100,7.3040,7.4400,31.5649,1551000.0000,1.7692,3.5146,1.5597,8.1984,7.7245,8890.1900,4.6359,47.7250,1205.9300,10.0095,3.7641,1.9856,53.3170,1.7568,43.0345,9.2983
"26 NOV 2002",0.9910,120.9200,1.4736,0.63450,1.9528,30.8080,7.4263,236.0500,0.7474,3.9647,33266.0000,9.0354,85.6500,7.2640,7.4400,31.5681,1543000.0000,1.7698,3.5438,1.5573,8.2025,7.7283,8913.1500,4.6131,47.7520,1187.8100,10.0265,3.7654,1.9886,53.1370,1.7504,42.9902,9.0592
"27 NOV 2002",0.9927,120.5700,1.4757,0.64130,1.9529,30.9480,7.4263,236.7600,0.7493,3.9472,33265.0000,9.0608,85.6800,7.2750,7.4370,31.6229,1551000.0000,1.7829,3.5576,1.5628,8.2166,7.7416,8910.3800,4.5991,47.8730,1178.8300,10.0869,3.7727,2.0123,53.2390,1.7496,43.0925,9.1365
"28 NOV 2002",0.9934,121.3700,1.4746,0.63950,1.9528,30.8920,7.4262,237.9500,"_",3.9795,33330.0000,9.0654,85.4400,7.2880,7.4350,31.6752,1540000.0000,1.7806,3.5732,1.5634,8.2224,7.7471,8928.1600,4.6132,47.9780,1199.8300,10.0672,3.7765,2.0097,53.2580,1.7503,43.1027,9.1800
"29 NOV 2002",0.9927,121.5600,1.4754,0.63950,1.9535,30.8570,7.4261,237.7200,0.7497,3.9860,33300.0000,9.0453,85.4300,7.2820,7.4280,31.6213,1523000.0000,1.7755,3.6030,1.5586,8.2166,7.7417,8912.4200,4.6141,47.9600,1187.4700,10.0606,3.7725,1.9990,53.1370,1.7527,43.1797,9.2276
"02 DIC 2002",0.9871,123.1400,1.4774,0.63820,1.9530,30.8200,7.4261,236.8500,0.7484,3.9520,33177.0000,9.0071,84.9500,7.2625,7.4325,31.4727,1505000.0000,1.7649,3.5636,1.5364,8.1702,7.6981,8867.5300,4.5770,47.6790,1184.5200,9.9714,3.7535,1.9752,52.8500,1.7484,43.1400,9.1257
"03 DIC 2002",0.9967,124.0800,1.4721,0.63740,1.9542,30.9300,7.4263,237.3800,0.7525,3.9700,33465.0000,9.0365,85.2000,7.2750,7.4250,31.7589,1530000.0000,1.7827,3.6464,1.5516,8.2497,7.7728,8950.3700,4.6257,48.0710,1213.3800,10.0916,3.7875,1.9974,53.3490,1.7642,43.4910,9.2605
"04 DIC 2002",1.0018,124.7500,1.4721,0.63670,1.9550,31.1350,7.4263,237.2100,0.7549,3.9910,33675.0000,9.0543,85.1000,7.2655,7.4250,31.9176,1553000.0000,1.7854,3.6991,1.5607,8.2919,7.8125,9008.4300,4.6584,48.2790,1218.6400,10.2169,3.8078,2.0012,53.6850,1.7735,43.7746,9.2377
"05 DIC 2002",0.9991,125.1800,1.4727,0.63640,1.9548,30.8930,7.4264,236.1500,0.7542,3.9967,33713.0000,9.0582,85.0700,7.2745,7.4175,31.8921,1550000.0000,1.7813,3.7481,1.5578,8.2696,7.7915,8997.6400,4.6645,48.2610,1219.4000,10.2953,3.8033,1.9930,53.5210,1.7737,43.8023,9.1129
"06 DIC 2002",1.0006,125.0200,1.4717,0.63770,1.9536,31.0150,7.4261,236.5800,0.7545,3.9920,33710.0000,9.0525,85.3100,7.2640,7.4075,31.8774,1553000.0000,1.7847,3.7713,1.5591,8.2820,7.8032,8993.1500,4.7128,48.2070,1221.2300,10.2886,3.8014,1.9976,53.4940,1.7752,43.6803,9.1293
"09 DIC 2002",1.0093,123.6500,1.4737,0.63930,1.9528,31.0800,7.4267,236.3600,0.7568,3.9928,34013.0000,9.0655,85.2200,7.3080,7.3975,32.1651,1582000.0000,1.7927,3.8439,1.5752,8.3540,7.8712,9062.3400,4.7378,48.6460,1218.7300,10.3141,3.8359,2.0052,53.7790,1.7810,43.7416,9.2417
"10 DIC 2002",1.0111,124.6600,1.4736,0.64160,1.9518,31.1340,7.4273,236.5100,0.7578,3.9915,34052.0000,9.1095,85.4100,7.3280,7.4105,32.2267,1568000.0000,1.7946,3.7967,1.5768,8.3689,7.8854,9079.4000,4.7249,48.7370,1225.4500,10.2955,3.8432,2.0008,53.9300,1.7840,43.8775,9.0964
"11 DIC 2002",1.0067,124.1800,1.4740,0.64060,1.9492,31.0500,7.4264,236.0600,0.7562,3.9700,34050.0000,9.0695,85.2800,7.3440,7.4055,32.1017,1578000.0000,1.7955,3.8150,1.5693,8.3325,7.8513,8950.3100,4.6945,48.5450,1221.0300,10.2297,3.8280,2.0040,53.7670,1.7736,43.6838,8.9696
"12 DIC 2002",1.0156,124.5500,1.4768,0.64370,1.9503,31.1830,7.4267,235.9200,0.7607,3.9730,34313.0000,9.1070,84.5700,7.3350,7.4025,32.3526,1580000.0000,1.7942,3.8156,1.5775,8.4061,7.9210,9003.1800,4.7398,48.9070,1226.3400,10.3378,3.8582,1.9965,54.1410,1.7845,44.0082,9.0515
"13 DIC 2002",1.0221,124.4600,1.4768,0.64450,1.9500,31.2330,7.4256,235.6800,0.7619,3.9753,34520.0000,9.1205,84.9200,7.3295,7.4025,32.5708,1580000.0000,1.8050,3.8165,1.5892,8.4599,7.9710,9071.5900,4.7599,49.2170,1231.1200,10.4617,3.8842,1.9946,54.7620,1.7865,44.2489,9.0086
"16 DIC 2002",1.0212,123.6400,1.4770,0.64260,1.9505,31.2570,7.4260,235.6500,0.7608,3.9672,34518.0000,9.1288,84.8600,7.3100,7.4075,32.5351,1580000.0000,1.8070,3.7253,1.5959,8.4525,7.9639,9003.2000,4.7333,49.1470,1228.7100,10.3800,3.8812,1.9910,54.8010,1.7873,44.1019,8.9105
"17 DIC 2002",1.0307,124.4000,1.4732,0.64450,1.9508,31.3570,7.4273,235.1300,0.7648,3.9985,34888.0000,9.0940,85.0200,7.2945,7.4105,32.8481,1624000.0000,1.8140,3.7007,1.6047,8.5311,8.0380,9153.9500,4.7897,49.5950,1227.0500,10.5369,3.9173,1.9867,55.3830,1.7989,44.3575,8.9929
"18 DIC 2002",1.0240,124.3500,1.4663,0.64030,1.9498,31.2250,7.4253,235.2300,0.7618,3.9950,34585.0000,9.0900,84.5700,7.3130,7.4255,32.6826,1634000.0000,1.8120,3.6234,1.5882,8.4756,7.9851,9119.8100,4.7790,49.3440,1230.3400,10.5345,3.8983,1.9870,55.0630,1.7888,44.1372,9.2385
"19 DIC 2002",1.0273,123.8700,1.4635,0.64030,1.9488,31.2850,7.4250,235.3900,0.7625,3.9939,34430.0000,9.0970,85.1800,7.2850,7.4343,32.7397,1682000.0000,1.8165,3.6125,1.5965,8.5030,8.0109,9139.1700,4.8698,49.3800,1234.3000,10.4405,3.9043,1.9903,55.2000,1.7918,44.2317,9.2123
"20 DIC 2002",1.0255,123.7900,1.4619,0.63990,1.9520,31.2670,7.4251,235.9800,0.7621,3.9810,34300.0000,9.0975,84.7600,7.2870,7.4395,32.6454,1681000.0000,1.8145,3.5096,1.5899,8.4881,7.9966,9119.9800,4.8576,49.2320,1231.6300,10.4380,3.8992,1.9870,55.1280,1.7897,44.1890,9.1782
"23 DIC 2002",1.0282,123.3500,1.4580,0.64460,1.9515,31.3600,7.4266,235.7500,0.7628,3.9825,34400.0000,9.1380,84.5100,7.2895,7.4275,32.7028,1700000.0000,1.8290,3.5974,1.5962,8.5104,8.0184,9133.5300,4.8678,49.3500,1235.4900,10.5118,3.9085,1.9934,54.8990,1.7886,44.2277,9.1099
"24 DIC 2002",1.0296,123.7800,1.4538,0.64670,1.9516,31.2530,7.4261,235.6100,0.7646,3.9793,34373.0000,9.1326,84.6900,7.2763,7.4305,32.7603,1731000.0000,1.8262,3.6053,1.5976,8.5220,8.0295,9152.7000,4.8959,49.3990,1236.2400,10.4891,3.9115,1.9940,54.9530,1.7922,44.2810,9.0892
"25 DIC 2002","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"26 DIC 2002","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"27 DIC 2002",1.0376,124.4500,1.4567,0.64800,1.9532,31.3400,7.4267,235.7300,0.7678,3.9920,34785.0000,9.1550,84.8000,7.3060,7.4495,33.0348,1719000.0000,1.8446,3.6876,1.6274,8.5882,8.0920,9255.0300,4.9722,49.7750,1242.7900,10.6587,3.9438,2.0010,55.3440,1.8049,44.9701,9.1231
"30 DIC 2002",1.0422,124.2700,1.4548,0.65000,1.9546,31.4890,7.4281,235.9500,0.7694,4.0005,34925.0000,9.1558,84.2400,7.2725,7.4735,33.2854,1713000.0000,1.8515,3.6769,1.6381,8.6263,8.1280,9329.9300,4.9654,49.9440,1247.5100,10.7477,3.9613,2.0010,55.5890,1.8093,45.1590,8.9791
"31 DIC 2002",1.0487,124.3900,1.4524,0.65050,1.9546,31.5770,7.4288,236.2900,0.7714,4.0210,35135.0000,9.1528,84.7400,7.2756,7.4750,33.5108,1738000.0000,1.8556,3.7124,1.6550,8.6801,8.1781,9387.2100,4.9708,50.2930,1243.7600,10.9605,3.9857,1.9975,56.3180,1.8199,45.2369,9.0094
"01 ENE 2003","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 ENE 2003",1.0446,124.4000,1.4528,0.65200,1.9557,31.5900,7.4272,235.7800,0.7694,4.0050,35012.0000,9.1270,84.6400,7.2670,7.5020,33.4085,1734000.0000,1.8554,3.6770,1.6422,8.6462,8.1445,9327.2000,5.0005,50.1920,1246.2100,10.8306,3.9735,1.9942,55.9160,1.8188,45.0780,8.8738
"03 ENE 2003",1.0392,124.5600,1.4555,0.65000,1.9559,31.3200,7.4283,235.4600,0.7692,3.9865,34773.0000,9.1060,84.3200,7.2360,7.5365,33.2136,1714000.0000,1.8440,3.6112,1.6264,8.6015,8.1047,9280.5900,4.9798,49.8780,1243.8700,10.7957,3.9503,1.9820,55.6210,1.8132,44.7163,8.7870
"06 ENE 2003",1.0488,124.4000,1.4563,0.64950,1.9558,31.3230,7.4279,235.4600,0.7716,4.0045,35055.0000,9.0913,84.7800,7.2420,7.5345,33.4263,1742000.0000,1.8281,3.5145,1.6383,8.6809,8.1797,9368.7200,5.0206,50.2910,1247.0200,10.9044,3.9847,1.9735,55.9690,1.8210,44.9011,8.8309
"07 ENE 2003",1.0425,124.8200,1.4565,0.64960,1.9557,31.3100,7.4285,235.3100,0.7704,3.9960,35038.0000,9.0670,84.0900,7.2370,7.5145,33.2429,1762000.0000,1.8160,3.5139,1.6257,8.6288,8.1307,9307.4400,4.9810,50.0050,1233.2800,10.8259,3.9629,1.9630,55.7670,1.8155,44.6653,8.9160
"08 ENE 2003",1.0377,124.9000,1.4586,0.64950,1.9559,31.4070,7.4291,235.3000,0.7672,4.0005,34942.0000,9.0702,84.4400,7.2225,7.5055,33.0881,1735000.0000,1.8132,3.4405,1.6231,8.5890,8.0936,9266.2200,5.0063,49.7560,1228.6400,10.7044,3.9431,1.9617,55.5410,1.8102,44.4218,8.9865
"09 ENE 2003",1.0507,125.1600,1.4597,0.65300,1.9558,31.5480,7.4297,235.1100,0.7728,4.0218,35385.0000,9.1110,84.9200,7.2255,7.5045,33.4833,1762000.0000,1.8172,3.4915,1.6371,8.6966,8.1946,9386.7200,5.0644,50.3470,1238.2500,10.9536,3.9933,1.9685,56.3210,1.8244,44.8713,8.9861
"10 ENE 2003",1.0503,125.7200,1.4602,0.65340,1.9558,31.7880,7.4290,235.0900,0.7729,4.0145,35477.0000,9.1385,84.6200,7.2520,7.5105,33.4395,1752000.0000,1.8107,3.4523,1.6285,8.6933,8.1915,9365.1600,5.0488,50.3570,1238.0900,10.9536,3.9908,1.9611,56.2120,1.8260,45.0011,8.9620
"13 ENE 2003",1.0549,125.7400,1.4613,0.65680,1.9559,31.8550,7.4295,234.9400,0.7755,4.0242,35542.0000,9.1722,84.0800,7.2895,7.5225,33.5483,1754000.0000,1.8109,3.4759,1.6248,8.7314,8.2272,9359.0800,5.0878,50.5790,1240.5600,11.1034,4.0050,1.9606,56.4130,1.8333,45.0933,9.0220
"14 ENE 2003",1.0577,125.0400,1.4623,0.65830,1.9547,31.7640,7.4295,234.9400,0.7760,4.0172,35607.0000,9.1705,84.0900,7.3285,7.4905,33.6772,1766000.0000,1.8115,3.4693,1.6301,8.7546,8.2491,9386.6700,5.1076,50.6760,1238.5700,11.1661,4.0202,1.9610,56.4680,1.8330,45.0952,9.2562
"15 ENE 2003",1.0526,124.4700,1.4636,0.65920,1.9552,31.8700,7.4310,234.9100,0.7738,4.0195,35410.0000,9.1720,84.2400,7.3020,7.4775,33.5038,1758000.0000,1.8024,3.4620,1.6234,8.7124,8.2093,9331.7400,5.0862,50.4430,1237.2300,10.9844,4.0001,1.9620,56.2910,1.8250,44.9113,9.2471
"16 ENE 2003",1.0564,124.7400,1.4626,0.65850,1.9546,31.4930,7.4323,234.7200,0.7750,4.0087,35670.0000,9.1800,84.0400,7.2660,7.4970,33.6253,1757000.0000,1.8028,3.4739,1.6200,8.7438,8.2388,9364.1400,5.1060,50.6370,1237.0400,11.1075,4.0162,1.9460,56.5180,1.8303,45.1085,9.3159
"17 ENE 2003",1.0652,125.3400,1.4598,0.65820,1.9546,31.4250,7.4343,246.2000,0.7787,4.0682,35708.0000,9.1750,84.1300,7.2740,7.5045,33.8953,1775000.0000,1.8012,3.5924,1.6304,8.8167,8.3073,9447.0000,5.1673,51.0270,1249.9100,11.2656,4.0472,1.9317,57.0600,1.8467,45.5309,9.4250
"20 ENE 2003",1.0653,125.9600,1.4608,0.66350,1.9552,31.2970,7.4330,244.3100,"_",4.0632,35725.0000,9.1968,84.4000,7.3180,7.5025,33.8846,1773000.0000,1.8056,3.6220,1.6367,8.8175,8.3082,9452.3200,5.1720,51.0370,1250.9800,11.2896,4.0472,1.9364,57.1880,1.8454,45.5522,9.4210
"21 ENE 2003",1.0653,126.5000,1.4614,0.66260,1.9547,31.1800,7.4333,246.7400,0.7803,4.0713,35603.0000,9.1887,84.6300,7.3430,7.5125,33.9027,1770000.0000,1.8134,3.6668,1.6362,8.8175,8.3084,9465.6400,5.1955,51.0520,1257.1600,11.3023,4.0483,1.9463,57.2580,1.8494,45.6450,9.5077
"22 ENE 2003",1.0718,126.5100,1.4622,0.66450,1.9555,31.5870,7.4361,248.5300,0.7829,4.1950,35723.0000,9.2535,84.9600,7.3890,7.5105,34.0414,1788000.0000,1.8273,3.7899,1.6408,8.8713,8.3591,9477.9500,5.2391,51.2480,1261.2900,11.6080,4.0674,1.9690,57.4720,1.8560,45.7254,9.6715
"23 ENE 2003",1.0757,126.9900,1.4635,0.66380,1.9554,31.4580,7.4365,248.8500,0.7838,4.2222,35882.0000,9.2458,84.9200,7.4060,7.5245,34.2233,1788000.0000,1.8190,3.7558,1.6409,8.9036,8.3894,9560.5400,5.2548,51.5010,1264.5900,11.6461,4.0882,1.9610,57.7140,1.8616,45.9173,9.5401
"24 ENE 2003",1.0784,127.4000,1.4666,0.66060,1.9555,31.3350,7.4383,246.8700,0.7847,4.1482,35910.0000,9.2503,84.7800,7.4570,7.5380,34.3054,1793000.0000,1.8235,3.8447,1.6448,8.9259,8.4105,9591.9000,5.2827,51.6140,1258.4900,11.5928,4.0989,1.9655,57.7890,1.8671,46.0368,9.3891
"27 ENE 2003",1.0870,127.9200,1.4673,0.66470,1.9557,31.3880,7.4370,245.2100,0.7875,4.1810,36028.0000,9.2460,85.0800,7.4555,7.5455,34.5584,1804000.0000,1.8338,3.9806,1.6504,8.9971,8.4781,9666.5900,5.3165,52.0480,1272.5500,11.8537,4.1308,1.9780,58.3480,1.8762,46.3029,9.5276
"28 ENE 2003",1.0808,128.0800,1.4692,0.65970,1.9558,31.4770,7.4372,244.2200,0.7861,4.1586,35865.0000,9.2228,84.8200,7.4700,7.5625,34.3871,1798000.0000,1.8367,3.9206,1.6501,8.9458,8.4297,9573.5900,5.2721,51.7550,1271.5600,11.7462,4.1084,1.9795,58.0850,1.8741,46.1976,9.4435
"29 ENE 2003",1.0868,128.4900,1.4678,0.65990,1.9558,31.3570,7.4346,243.2300,0.7878,4.1210,35983.0000,9.2135,84.8600,7.4580,7.5700,34.5848,1802000.0000,1.8395,3.9641,1.6543,8.9954,8.4768,9616.8500,5.2927,51.9320,1269.3800,11.9287,4.1293,1.9775,58.4020,1.8783,46.3728,9.4932
"30 ENE 2003",1.0748,128.2300,1.4702,0.65340,1.9553,31.4070,7.4344,243.5000,0.7830,4.0873,35677.0000,9.1870,83.5800,7.4315,7.5775,34.2190,1769000.0000,1.8285,3.8139,1.6410,8.8961,8.3831,9533.0400,5.1838,51.4270,1251.0700,11.6573,4.0841,1.9655,57.8160,1.8704,45.9563,9.2876
"31 ENE 2003",1.0816,129.1700,1.4678,0.65570,1.9557,31.5720,7.4368,243.9800,0.7857,4.1345,35848.0000,9.2285,83.5400,7.4520,7.5675,34.4580,1781000.0000,1.8397,3.8256,1.6562,8.9524,8.4363,9596.4600,5.2176,51.6610,1265.4700,11.8522,4.1112,1.9820,58.2330,1.8766,46.2296,9.2639
"03 FEB 2003",1.0729,129.2700,1.4684,0.65530,1.9553,31.5600,7.4377,243.7300,0.7833,4.1153,35613.0000,9.2334,82.9200,7.4790,7.5725,34.1559,1758000.0000,1.8405,3.7466,1.6303,8.8804,8.3685,9522.1700,5.1875,51.2270,1264.4100,11.6662,4.0767,1.9790,57.8510,1.8699,45.9158,9.1747
"04 FEB 2003",1.0822,129.9500,1.4673,0.65710,1.9556,31.6130,7.4357,244.1100,0.7876,4.1438,35847.0000,9.2427,83.3100,7.4870,7.5795,34.4594,1776000.0000,1.8361,3.8229,1.6415,8.9574,8.4407,9599.1200,5.2757,51.6970,1274.2900,11.8436,4.1124,1.9736,58.3900,1.8823,46.2641,9.1027
"05 FEB 2003",1.0910,130.3000,1.4666,0.66070,1.9558,31.7840,7.4357,245.2500,0.7900,4.1643,35963.0000,9.2489,82.6300,7.5635,7.5875,34.7166,1792000.0000,1.8425,3.9331,1.6523,9.0302,8.5094,9669.9100,5.3350,52.0420,1281.1100,11.9765,4.1441,1.9815,58.8900,1.8959,46.5665,9.1644
"06 FEB 2003",1.0813,129.6200,1.4666,0.65920,1.9555,31.6420,7.4333,245.4400,0.7866,4.1540,35690.0000,9.1989,82.8700,7.5145,7.5955,34.4296,1767000.0000,1.8312,3.9046,1.6480,8.9499,8.4335,9591.8200,5.2648,51.5990,1272.1500,11.7629,4.1097,1.9741,58.3740,1.8823,46.2666,9.1100
"07 FEB 2003",1.0789,129.4900,1.4667,0.66280,1.9556,31.7280,7.4310,246.6700,0.7871,4.1618,35617.0000,9.1617,82.4600,7.4690,7.5945,34.3559,1768000.0000,1.8281,3.8619,1.6434,8.9301,8.4150,9570.0000,5.2491,51.4410,1277.6300,11.7266,4.1006,1.9700,58.3260,1.8826,46.2773,9.0385
"10 FEB 2003",1.0808,130.2300,1.4658,0.66140,1.9539,31.7750,7.4323,246.2800,0.7874,4.1687,35513.0000,9.1594,83.4800,7.4625,7.5925,34.3700,1781000.0000,1.8230,3.8876,1.6458,8.9458,8.4296,9597.9500,5.2700,51.4920,1288.8500,11.8748,4.1072,1.9580,58.2310,1.8981,46.5955,9.0666
