"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"06 DIC 2023",1.0778,158.7000,0.9429,0.85610,1.9558,24.3350,7.4557,380.5700,0.8120,4.3403,4.9687,11.3065,150.1000,11.7960,7.5345,"_",31.1921,1.6391,5.2994,1.4616,7.7148,8.4173,16731.7100,3.9969,89.8275,1417.8900,18.6760,5.0317,1.7509,59.6130,1.4452,37.8950,20.4401
"07 DIC 2023",1.0771,156.1800,0.9446,0.85750,1.9558,24.3560,7.4551,381.3800,0.8107,4.3313,4.9658,11.2557,150.1000,11.7535,7.5345,"_",31.1627,1.6407,5.2614,1.4656,7.7058,8.4174,16737.9700,3.9861,89.7940,1421.0200,18.6551,5.0344,1.7554,59.5690,1.4436,37.9250,20.2056
"08 DIC 2023",1.0777,155.5300,0.9438,0.85690,1.9558,24.3540,7.4558,381.9000,0.8108,4.3318,4.9683,11.2380,150.1000,11.7270,7.5345,"_",31.2340,1.6327,5.2933,1.4627,7.7179,8.4190,16719.0100,3.9982,89.8875,1412.8300,18.7923,5.0269,1.7532,59.7580,1.4426,38.0970,20.3657
"11 DIC 2023",1.0757,157.5400,0.9478,0.85580,1.9558,24.3670,7.4563,381.9000,0.8110,4.3303,4.9707,11.2970,150.7000,11.7950,7.5345,"_",31.1872,1.6420,5.3169,1.4609,7.7206,8.3971,16857.5600,3.9977,89.6798,1420.7100,18.7319,5.0370,1.7608,59.7870,1.4454,38.4020,20.5441
"12 DIC 2023",1.0804,156.8400,0.9443,0.85928,1.9558,24.4200,7.4569,381.8000,0.8127,4.3393,4.9732,11.2815,151.1000,11.7780,7.5345,"_",31.3765,1.6398,5.3327,1.4656,7.7447,8.4377,16835.0600,4.0044,90.0765,1415.2100,18.7419,5.0611,1.7573,60.1030,1.4479,38.5430,20.4297
"13 DIC 2023",1.0787,157.1300,0.9452,0.86120,1.9558,24.4760,7.4566,380.9000,0.8123,4.3260,4.9738,11.2770,150.7000,11.8250,7.5345,"_",31.3399,1.6452,5.3609,1.4644,7.7426,8.4288,16862.0200,3.9971,89.9635,1422.8600,18.6870,5.0764,1.7691,60.4930,1.4490,38.6120,20.5870
"14 DIC 2023",1.0919,154.8000,0.9490,0.85955,1.9558,24.4080,7.4566,379.4300,0.8161,4.3123,4.9712,11.1800,150.3000,11.5180,7.5345,"_",31.6673,1.6288,5.3349,1.4677,7.7866,8.5251,16922.8700,4.0264,90.9930,1412.6600,18.9001,5.1019,1.7603,60.8520,1.4527,38.1460,20.2693
"15 DIC 2023",1.0946,155.1500,0.9488,0.85833,1.9558,24.4770,7.4556,382.5300,0.8170,4.3090,4.9710,11.2125,150.5000,11.4495,7.5345,"_",31.7965,1.6324,5.4085,1.4653,7.7812,8.5438,17028.2000,4.0167,90.9410,1423.2700,18.9342,5.1123,1.7612,61.0350,1.4560,38.1190,19.9801
"18 DIC 2023",1.0918,155.9500,0.9480,0.86263,1.9558,24.5430,7.4549,385.5000,0.8167,4.3450,4.9687,11.1450,150.7000,11.3485,7.5345,"_",31.7287,1.6225,5.3935,1.4584,7.7893,8.5135,16915.0900,3.9875,90.7900,1419.8000,18.8458,5.1249,1.7514,60.9660,1.4539,38.2180,20.2326
"19 DIC 2023",1.0962,158.2000,0.9470,0.86095,1.9558,24.5250,7.4564,382.9800,0.8192,4.3373,4.9718,11.1750,150.9000,11.3655,7.5345,"_",31.8927,1.6273,5.3375,1.4673,7.8231,8.5498,16997.5700,4.0015,91.1835,1430.2200,18.7406,5.1319,1.7550,61.3430,1.4589,38.3150,20.2569
